"n" "turnout" "noturnout" "white" "black" "hisp"
354 108 246 301 47 6
385 98 287 336 10 39
312 128 184 271 28 13
331 149 182 327 4 0
263 112 151 259 1 3
253 110 143 249 1 3
213 64 149 179 31 3
337 85 252 196 54 87
466 140 326 279 173 14
221 87 134 162 50 9
403 148 255 318 83 2
482 71 411 437 1 44
201 103 98 190 10 1
242 133 109 116 98 28
335 42 293 326 9 0
431 74 357 363 45 23
238 80 158 228 7 3
365 65 300 159 74 132
487 106 381 423 36 28
419 73 346 325 1 93
319 111 208 243 39 37
285 83 202 229 0 56
319 87 232 279 39 1
245 93 152 157 61 27
333 112 221 291 19 23
210 97 113 161 12 37
313 88 225 305 7 1
410 87 323 385 22 3
385 117 268 284 92 9
345 104 241 185 69 91
204 128 76 185 17 2
297 67 230 214 52 31
242 85 157 124 54 64
483 108 375 225 74 184
325 139 186 275 21 29
332 91 241 270 45 17
470 82 388 379 40 51
307 72 235 306 1 0
400 75 325 270 39 91
202 103 99 199 0 3
410 57 353 95 227 88
380 105 275 290 56 34
451 90 361 261 81 109
487 73 414 357 1 129
365 78 287 263 17 85
444 123 321 427 5 12
431 90 341 375 13 43
290 49 241 194 87 9
222 94 128 206 15 1
428 114 314 293 1 134
318 94 224 307 6 5
257 116 141 247 0 10
271 117 154 225 8 38
434 94 340 408 14 12
406 150 256 365 35 6
345 112 233 105 235 5
357 136 221 278 66 13
483 79 404 388 40 55
309 80 229 275 18 16
335 94 241 329 0 6
