"x" "t" "n" "tb" "tw"
0.2475 0.8875 40000 0.5565 0.9968
0.1818 0.9545 4400 0.7509 1
0.1355 0.8076 36900 0.6409 0.834
0.1884 0.8551 6900 0.6932 0.893
0.0726 0.9721 89500 0.6163 1
0.11 0.9682 245400 0.712 1
0.1364 0.9545 4400 0.6676 1
0.086 0.9785 9300 0.7509 1
0.1057 0.9756 12300 0.7701 1
0.1077 0.9538 13000 0.5723 1
0.2422 0.9531 12800 0.8074 1
0.1233 0.7548 613000 0.7946 0.7494
0.1711 0.7237 7600 0.6932 0.7303
0.2227 0.7803 262200 0.7321 0.7945
0.1901 0.849 94700 0.7565 0.871
0.2857 0.8571 2800 0.5009 1
0.1818 0.9318 4400 0.6259 1
0.5125 0.4833 24000 0.383 0.5898
0.0952 0.9524 2100 0.5009 1
0.3889 0.7222 1800 0.2866 1
0.2364 0.8727 5500 0.5394 0.9763
0.3636 0.8864 4400 0.6884 1
0.0694 0.7778 7200 0.6009 0.7911
0.2449 0.9184 4900 0.6676 1
0.16 0.96 7500 0.7509 1
0.162 0.9437 14200 0.6531 1
0.1269 0.8421 245100 0.734 0.858
0.1635 0.9434 15900 0.6547 1
0.2769 0.7897 19500 0.612 0.8583
0.5098 0.7843 5100 0.5778 1
0.1 0.95 2000 0.5009 1
0.1734 0.7209 36900 0.3603 0.7968
0.1038 0.9603 45300 0.6179 1
0.2915 0.872 42200 0.5619 1
0.2581 0.8387 6200 0.3759 1
0.4026 0.8701 7700 0.6783 1
0.1113 0.8592 47600 0.5292 0.9008
0.2971 0.8786 31300 0.5923 1
0.1395 0.969 12900 0.7787 1
0.1021 0.6796 28400 0.6216 0.6864
0.2283 0.8913 9200 0.7152 0.9438
0.0638 0.8632 32900 0.5723 0.8832
0.125 0.975 4000 0.8009 1
0.1366 0.7732 159600 0.4871 0.8187
0.0853 0.969 12900 0.6373 1
0.1887 0.9309 156300 0.6348 1
0.0682 0.9631 35200 0.4592 1
0.0662 0.9243 273500 0.6307 0.9453
0.1648 0.7983 116500 0.5321 0.8511
0.2802 0.7253 18200 0.4127 0.8474
0.2376 0.768 18100 0.4893 0.8552
0.2743 0.8987 23700 0.6471 0.9943
0.0688 0.9812 16000 0.7282 1
0.0735 0.9606 55800 0.4643 1
0.739 0.2987 95400 0.052 1
0.2113 0.9437 7100 0.7342 1
0.2442 0.8953 8600 0.5723 1
0.2297 0.9189 7400 0.648 1
0.275 0.575 4000 0.2736 0.6898
0.1352 0.9382 85800 0.6733 0.9799
0.2222 0.9722 3600 0.8759 1
0.117 0.9681 9400 0.7282 1
0.1562 0.9531 6400 0.7009 1
0.1704 0.9185 27000 0.8705 0.9287
0.215 0.9533 10700 0.8705 0.9763
0.2745 0.9412 15300 0.7866 1
0.3516 0.8571 9100 0.6884 0.9493
0.2293 0.839 20500 0.6818 0.8862
0.1944 0.9259 10800 0.6199 1
0.4227 0.7526 9700 0.5863 0.8751
0.223 0.6131 30500 0.3097 0.7005
0.322 0.5838 129500 0.327 0.7063
0.1913 0.7522 77900 0.6586 0.7747
0.2182 0.9091 5500 0.5842 1
0.0769 0.9744 3900 1 0.9723
0.2879 0.8636 6600 0.5272 1
0.4386 0.7105 11400 0.5609 0.8282
0.3932 0.8718 11700 0.6748 1
0.5113 0.6617 13300 0.4127 0.9232
0.2954 0.8279 124900 0.5998 0.924
0.5833 0.4583 7200 0.0723 1
0.4656 0.2977 13100 0.0665 0.5001
0.3284 0.7015 13400 0.2054 0.9445
0.1928 0.9277 8300 0.6259 1
0.2628 0.9234 27400 0.8203 0.9605
0.4494 0.9051 15800 0.8319 0.9656
0.2747 0.8791 9100 0.7209 0.9395
0.1254 0.9599 119600 0.6809 1
0.1835 0.8101 15800 0.6906 0.8373
0.2111 0.9311 45000 0.7588 0.9776
0.1065 0.9691 29100 0.7106 1
0.1013 0.9873 7900 0.8759 1
0.3725 0.7451 15300 0.4921 0.8959
0.1017 0.9887 17700 0.8898 1
0.5843 0.7753 8900 0.6163 1
0.4114 0.6571 17500 0.362 0.8642
0.3957 0.8503 18700 0.7036 0.947
0.3282 0.5836 383300 0.5343 0.6083
0.2898 0.5883 56600 0.1533 0.7663
0.2522 0.7304 11500 0.0699 0.9536
0.4649 0.9035 11400 0.8311 0.9673
0.2878 0.717 62900 0.5202 0.797
0.3729 0.8814 5900 0.6827 1
0.377 0.6885 12200 0.3705 0.8817
0.2019 0.9327 10400 0.6676 1
0.0462 0.9874 23800 0.7282 1
0.4375 0.9792 4800 0.9533 1
0.4396 0.9231 9100 0.8259 1
0.4343 0.9697 9900 0.9311 1
0.3695 0.8941 40600 0.8342 0.9298
0.3072 0.9869 15300 0.9583 1
0.2791 0.938 25800 0.7787 1
0.1761 0.9542 28400 0.7409 1
0.2965 0.877 31700 0.6286 0.9822
0.5932 0.7458 5900 0.5723 1
0.1839 0.806 29900 0.51 0.8731
0.297 0.8812 10100 0.6009 1
0.0984 0.9672 12200 0.6676 1
0.2881 0.8559 23600 0.5597 0.9763
0.3084 0.7709 22700 0.558 0.8663
0.4321 0.8765 8100 0.7152 1
0.1842 0.7632 7600 0.2866 0.8711
0.6216 0.2973 7400 0.2835 0.3215
0.2766 0.8723 9400 0.5778 0.9854
0.1474 0.743 50200 0.5685 0.7735
0.0549 0.989 9100 0.8009 1
0.0213 0.5532 4700 9e-04 0.565239603555737
0.4 0.6692 13000 0.4624 0.8078
0.0083 0.9917 12100 9e-04 1
0.0152 0.4848 6600 9e-04 0.492282696994314
0.3116 0.7387 19900 0.3235 0.9271
0.4846 0.9 13000 0.7946 1
0.3566 0.6853 14300 0.5107 0.7827
0.2963 0.8704 10800 0.7509 0.9212
0.1053 0.7038 80700 0.5068 0.7272
0.0605 0.7771 31400 0.7904 0.7764
0.133 0.67 40600 0.4639 0.7018
0.0625 0.7978 27200 0.7068 0.804
0.3548 0.4194 3100 0.2736 0.5001
0.1061 0.3799 17900 0.2114 0.4001
0.4059 0.4554 10100 0.3668 0.5168
0.0789 0.8947 41800 0.7282 0.9092
0.2632 0.5526 15200 0.4259 0.5983
0.0215 0.4731 9300 9e-04 0.483495145631068
0.3968 0.6667 6300 0.4409 0.8159
0.1762 0.7778 36900 0.5547 0.8258
0.2937 0.4286 25200 0.3117 0.4776
0.2628 0.5256 31200 0.4643 0.5479
0.2438 0.4449 77100 0.4052 0.4581
0.2821 0.8205 3900 0.4554 0.9644
0.0541 0.5405 3700 0.5009 0.543
0.0978 0.9522 46000 0.7342 0.976
0.11 0.86 10000 0.6373 0.8877
0.3153 0.8288 22200 0.458 1
0.2928 0.8303 66600 0.765 0.8578
0.4424 0.6619 27800 0.4318 0.8453
0.2228 0.844 112200 0.7729 0.8648
0.3636 0.6818 15400 0.483 0.796
0.1157 0.73 72600 0.5842 0.7493
0.46 0.64 5000 0.4792 0.7779
0.0294 0.9706 3400 9e-04 1
0.3763 0.7527 18600 0.4295 0.9484
0.4074 0.7284 8100 0.4857 0.8959
0.1896 0.7132 144000 0.5906 0.7422
0.4554 0.736 30300 0.4357 0.988
0.2357 0.7262 26300 0.4203 0.821
0.0212 0.5932 23600 0.4009 0.5975
0.0538 0.8834 22300 0.5009 0.9053
0.5214 0.7692 11700 0.6566 0.893
0.4805 0.6623 7700 0.5414 0.7751
0.3333 0.6667 3300 0.5464 0.7274
0.1503 0.8388 36600 0.5827 0.8843
0.08 0.91 10000 0.2509 0.9675
0.1844 0.8646 34700 0.4853 0.9506
0.4182 0.7091 5500 0.5661 0.8126
0.1892 0.8716 14800 0.7509 0.9001
0.348 0.6453 29600 0.4572 0.7462
0.0915 0.8963 16400 0.7342 0.9129
0.0516 0.7677 15500 0.5009 0.7824
0.0227 0.5455 8800 9e-04 0.558170469661312
0.0103 0.7732 9700 9e-04 0.781246842477518
0.413 0.7899 13800 0.5798 0.9384
0.2165 0.7943 158000 0.5506 0.862
0.1981 0.9434 10600 0.7152 1
0.2341 0.6439 20500 0.3759 0.7262
0.3272 0.7191 32400 0.5103 0.8212
0.2512 0.7346 42200 0.5292 0.8039
0.529 0.8841 13800 0.7817 1
0.1282 0.3744 39000 0.3809 0.3736
0.2049 0.8893 24400 0.6409 0.9537
0.3019 0.6981 5300 0.5634 0.7569
0.3427 0.6154 14300 0.4499 0.7022
0.4227 0.6598 9700 0.4155 0.8394
0.3922 0.3922 5100 0.3509 0.4195
